Stn_No,Lat,Long
57739,27.14,108.53
57740,27.57,109.36
57741,27.43,109.11
57742,27.31,109.12
57743,27.53,109.48
57744,27.22,109.1
57745,27.27,109.41
57746,27.33,109.58
57752,27.55,110.36
57754,27.21,110.09
57758,27.04,110.35
57760,27.42,111.26
57761,27.45,111.18
57762,27.42,111.41
57763,27.44,112.0
57766,27.14,111.28
57767,27.07,111.02
57768,27.19,111.27
57769,27.14,111.44
57771,27.56,112.32
57772,27.45,112.3
57773,27.52,112.49
57774,27.27,112.1
57776,27.18,112.42
57777,27.14,112.52
57778,27.06,112.57
57779,27.0,113.21
57780,27.52,113.1
57781,27.39,113.3
57786,27.39,113.51
57789,27.08,113.57
57792,27.49,114.41
57793,27.48,114.23
57796,27.48,114.56
57798,27.24,114.36
57799,27.07,114.58
57800,26.46,105.22
57803,27.02,106.01
57805,26.41,105.46
57806,26.15,105.55
57807,26.12,105.28
57808,26.19,105.45
57809,26.03,105.46
57811,26.51,106.36
57813,26.34,106.28
57814,26.25,106.16
57816,26.35,106.43
57818,26.02,106.27
57821,26.42,107.3
57822,26.54,107.54
57823,27.0,107.47
57824,26.35,107.14
57825,26.36,107.59
57826,26.39,107.47
57827,26.16,107.31
57828,26.3,107.35
57829,26.12,107.48
57832,26.58,108.4
57834,26.41,108.18
57835,26.29,108.38
57837,26.24,108.04
57839,26.14,109.09
57840,26.54,109.12
57841,26.34,109.4
57842,26.53,109.41
57844,26.41,109.11
57845,26.1,109.47
57846,26.35,110.09
57851,26.27,110.51
57853,26.44,110.38
57857,26.22,110.19
57859,26.02,110.38
57860,27.0,111.16
57865,26.25,111.34
57866,26.14,111.37
57867,26.24,111.17
57868,26.36,111.52
57870,26.48,112.06
57871,26.59,112.22
57872,26.54,112.36
57874,26.25,112.24
57875,26.53,112.3
57876,26.24,112.51
57881,26.43,113.15
57882,26.47,113.33
57883,26.43,113.58
57886,26.3,113.47
57887,26.08,113.07
57889,26.05,113.57
57891,26.56,114.15
57894,26.35,114.1
57895,26.28,114.47
57896,26.2,114.3
57899,26.48,114.55
57900,25.5,105.13
57902,25.26,105.11
57903,25.56,105.36
57905,25.24,105.38
57906,25.11,106.05
57907,25.05,104.54
57908,25.07,105.29
57909,24.59,105.49
57910,25.46,106.05
57911,26.41,106.37
57912,26.08,106.38
57913,26.27,106.59
57914,26.25,106.4
57915,26.38,106.46
57916,25.26,106.46
57921,25.5,107.19
57922,25.5,107.33
57923,25.59,107.52
57926,25.25,107.53
57927,25.0,107.1
57932,25.58,108.32
57936,25.35,108.54
57941,25.47,109.36
57942,25.48,110.0
57947,25.13,109.24
57948,25.05,109.15
57949,24.59,110.0
57954,25.14,110.11
57955,25.37,110.4
57956,25.25,110.19
57957,25.19,110.18
57958,25.05,110.19
57960,25.56,111.04
57962,25.58,111.39
57964,25.3,111.09
57965,25.32,111.36
57966,25.36,111.57
57969,25.16,111.2
57971,25.55,112.12
57972,25.48,113.02
57973,25.45,112.43
57974,25.35,112.22
57975,25.23,112.12
57976,25.25,112.57
57978,25.17,112.33
57981,25.59,113.13
57985,25.34,113.41
57988,25.09,113.21
57989,25.06,113.44
57990,25.42,114.18
57991,25.48,114.33
57992,25.4,114.45
57993,25.51,114.57
57994,25.24,114.21
57995,25.24,114.56
57996,25.08,114.19
58001,34.26,115.06
58002,34.49,115.33
58004,34.39,115.09
58005,34.27,115.4
58006,34.23,115.53
58007,34.04,115.18
58008,34.28,115.2
58011,34.48,116.04
58012,34.41,116.35
58013,34.43,116.55
58015,34.25,116.2
58016,34.11,116.58
58017,34.15,116.08
58020,34.51,117.08
58024,34.52,117.35
58025,34.34,117.44
58026,34.18,117.57
58027,34.17,117.09
58034,34.37,118.22
58035,34.21,118.21
58036,34.31,118.44
58038,34.06,118.45
58040,34.5,119.07
58041,34.47,119.26
58044,34.35,119.1
58045,34.13,119.36
58046,34.29,119.47
58047,34.18,119.14
58048,34.06,119.21
58049,34.02,119.49
58100,33.38,115.11
58101,33.53,115.29
58102,33.52,115.46
58104,33.24,115.04
58107,33.04,115.15
58108,33.16,115.22
58109,33.11,115.37
58111,33.56,116.23
58113,33.56,116.47
58114,33.3,116.12
58116,33.59,116.49
58117,33.09,116.13
58118,33.17,116.33
58122,33.38,116.59
58125,33.33,117.33
58126,33.28,117.52
58127,32.58,117.12
58128,33.19,117.18
58129,33.08,117.53
58130,33.53,117.55
58131,33.57,118.14
58132,33.42,118.43
58135,33.27,118.13
58138,32.59,118.31
58139,33.18,118.51
58140,33.47,119.16
58143,33.48,119.48
58144,33.36,119.02
58145,33.32,119.1
58146,33.29,119.49
58147,33.02,119.02
58148,33.14,119.18
58150,33.46,120.15
58154,33.23,120.09
58158,33.12,120.29
58202,32.38,115.35
58203,32.55,115.49
58205,32.27,115.25
58207,32.09,115.02
58208,32.1,115.4
58210,32.37,116.16
58212,32.43,116.44
58214,32.2,116.17
58215,32.33,116.47
58220,32.28,117.09
58221,32.57,117.23
58222,32.52,117.33
58223,32.47,117.59
58224,32.39,117.01
58225,32.32,117.4
58230,32.05,118.16
58234,32.28,118.25
58235,32.21,118.5
58236,32.18,118.18
58237,32.03,118.37
58238,32.0,118.48
58240,32.41,119.01
58241,32.48,119.27
58242,32.17,119.1
58243,32.56,119.5
58244,32.27,119.34
58245,32.25,119.25
58246,32.3,119.56
58247,32.15,119.49
58248,32.13,119.28
58249,32.1,120.0
58250,32.31,120.09
58251,32.52,120.19
58252,32.11,119.28
58254,32.32,120.27
58255,32.23,120.34
58257,32.0,120.16
58259,32.01,120.51
58264,32.2,121.11
58265,32.04,121.36
58268,32.06,121.05
58269,31.47,121.39
58301,31.48,115.23
58306,31.41,115.53
58311,31.45,116.3
58314,31.24,116.19
58316,31.28,116.57
58317,30.52,116.22
58319,31.04,116.57
58320,31.44,117.08
58321,31.52,117.14
58323,31.53,117.28
58326,31.37,117.52
58327,31.15,117.17
58329,31.18,117.54
58330,31.43,118.07
58331,31.44,118.22
58333,31.57,118.51
58334,31.2,118.23
58335,31.34,118.3
58336,31.42,118.31
58337,31.05,118.11
58338,31.09,118.35
58339,31.19,118.53
58340,31.4,119.02
58341,31.59,119.35
58342,31.45,119.33
58343,31.46,119.56
58344,31.57,119.1
58345,31.26,119.29
58346,31.21,119.49
58351,31.53,120.16
58352,31.39,120.44
58353,31.52,120.33
58354,31.35,120.21
58356,31.25,120.57
58357,31.19,120.38
58358,31.04,120.26
58359,31.1,120.38
58360,31.53,121.1
58361,31.06,121.22
58362,31.24,121.29
58365,31.22,121.15
58366,31.37,121.27
58367,31.1,121.26
58369,31.03,121.46
58377,31.28,121.06
58401,30.47,115.24
58402,30.44,115.4
58404,30.27,115.15
58407,30.15,115.03
58408,30.14,115.26
58409,30.04,115.56
58414,30.27,116.18
58415,30.38,116.35
58416,30.25,116.39
58417,30.1,116.08
58418,30.08,116.42
58419,30.06,117.01
58420,30.43,117.13
58421,30.38,117.52
58423,30.29,117.47
58424,30.32,117.03
58426,30.18,118.08
58427,30.4,117.29
58428,30.13,117.29
58429,30.58,117.47
58431,30.55,118.19
58432,30.41,118.24
58433,30.56,118.45
58435,30.18,118.32
58436,30.37,118.59
58437,30.08,118.09
58438,30.05,118.35
58441,30.53,119.25
58442,31.08,119.11
58443,30.59,119.53
58445,30.21,119.25
58446,30.38,119.41
58448,30.14,119.42
58449,30.03,119.57
58450,30.51,120.05
58451,30.51,120.54
58452,30.47,120.44
58453,30.0,120.38
58454,30.32,120.04
58455,30.31,120.41
58456,30.38,120.32
58457,30.14,120.1
58458,30.31,120.56
58459,30.12,120.19
58460,30.54,121.1
58461,31.09,121.07
58462,31.0,121.15
58463,30.56,121.27
58464,30.37,121.05
58467,30.12,121.16
58468,30.04,121.09
58472,30.44,122.27
58477,30.02,122.06
58500,29.51,115.12
58501,29.51,115.33
58502,29.44,116.0
58503,29.41,115.4
58506,29.35,115.59
58507,29.17,115.06
58508,29.2,115.46
58509,29.03,115.49
58510,29.44,116.14
58514,29.27,116.03
58517,29.16,116.12
58519,29.0,116.41
58520,29.51,117.43
58523,29.56,117.56
58527,29.18,117.12
58529,29.16,117.51
58530,29.52,118.26
58531,29.43,118.17
58534,29.47,118.11
58537,29.08,118.24
58542,29.49,119.41
58543,29.37,119.01
58544,29.29,119.16
58546,29.28,119.53
58547,29.02,119.11
58548,29.13,119.28
58549,29.07,119.39
58550,29.42,120.15
58553,30.02,120.53
58555,29.31,120.53
58556,29.36,120.49
58557,29.19,120.04
58558,29.16,120.13
58559,29.1,120.59
58562,29.52,121.34
58563,29.58,121.45
58565,29.4,121.25
58567,29.18,121.26
58569,29.12,121.57
58570,29.57,122.18
58600,28.52,115.22
58601,28.42,115.23
58602,28.51,115.33
58605,28.25,115.23
58606,28.36,115.55
58608,28.04,115.33
58609,28.13,115.49
58612,28.42,116.41
58614,28.23,116.16
58615,28.41,117.05
58616,28.12,116.49
58617,28.0,116.22
58618,28.14,116.36
58620,28.58,117.08
58622,28.57,117.35
58624,28.24,117.26
58625,28.25,117.36
58626,28.18,117.13
58629,28.19,117.42
58631,28.54,118.3
58632,28.45,118.38
58633,28.58,118.52
58634,28.41,118.15
58635,28.26,118.12
58637,28.27,117.59
58642,28.53,119.48
58643,28.54,120.02
58644,28.36,119.17
58646,28.27,119.55
58647,28.05,119.08
58652,28.51,120.43
58653,28.49,120.55
58654,28.4,120.05
58656,28.07,120.58
58657,28.09,120.17
58658,28.09,120.41
58659,28.0,120.4
58660,28.51,121.08
58664,28.22,121.22
58665,28.37,121.25
58666,28.27,121.54
58667,28.05,121.16
58693,28.42,115.5
58701,27.46,115.24
58704,27.34,115.1
58705,27.2,115.25
58706,27.26,115.5
58707,27.13,115.08
58710,27.46,116.03
58712,27.55,116.47
58713,27.43,117.04
58714,27.33,116.13
58715,27.35,116.39
58718,27.13,116.32
58719,27.18,116.56
58724,27.31,117.18
58725,27.2,117.28
58730,27.46,118.02
58731,27.55,118.32
58734,27.2,118.07
58735,27.31,118.48
58736,27.22,118.49
58737,27.03,118.19
58742,28.07,119.33
58744,27.27,119.25
58745,27.37,119.04
58746,27.34,119.42
58747,27.09,119.21
58748,27.06,119.39
58749,27.15,119.54
58750,27.47,120.05
58751,27.41,120.34
58752,27.47,120.37
58754,27.2,120.12
58760,27.5,121.09
58765,27.38,121.12
58804,26.21,115.21
58806,26.29,116.01
58813,26.51,116.2
58814,26.21,116.21
58818,26.14,116.38
58819,26.12,116.51
58820,26.54,117.1
58821,26.44,117.28
58822,26.5,116.51
58823,26.48,117.48
58824,26.24,117.09
58826,26.24,117.48
58828,26.16,117.37
58834,26.39,118.1
58836,26.35,118.44
58837,26.1,118.09
58839,26.14,118.51
58843,26.53,120.0
58844,26.09,119.09
58845,26.3,119.32
58846,26.4,119.31
58847,26.05,119.17
58848,26.12,119.32
58903,25.52,116.02
58905,25.58,115.25
58906,25.36,115.48
58907,25.09,115.24
58911,25.51,116.22
58912,25.43,116.45
58917,25.06,116.06
58918,25.03,116.25
58921,25.58,117.21
58923,25.42,117.5
58926,25.18,117.25
58927,25.06,117.02
58928,25.01,117.32
58929,25.04,118.09
58931,25.43,118.06
58932,25.52,118.56
58933,26.55,118.59
58934,25.2,118.16
58935,25.29,118.14
58936,25.22,118.42
58938,25.14,118.59
58940,26.05,119.2
58941,25.58,119.3
58942,25.43,119.23
58944,25.31,119.47
58946,25.26,119.0
59001,24.47,105.2
59004,24.3,105.06
59007,24.04,105.04
59012,24.47,106.34
59015,24.21,106.34
59017,24.17,106.14
59021,24.33,107.02
59022,24.59,107.33
59023,24.42,108.03
59025,24.31,107.22
59027,24.08,107.15
59031,24.5,108.15
59033,24.47,108.54
59034,24.29,108.4
59037,23.56,108.06
59038,24.04,108.39
59041,24.39,109.15
59044,24.28,109.23
59045,24.29,109.45
59046,24.21,109.24
59047,24.15,109.2
59051,24.46,110.3
59052,24.5,110.49
59053,24.37,110.4
59055,24.3,110.24
59057,24.08,110.11
59058,24.12,110.31
59059,24.11,110.48
59061,24.49,111.16
59063,25.11,111.27
59064,24.33,111.19
59065,24.25,111.31
59071,24.43,112.17
59072,24.47,112.23
59074,24.34,112.09
59075,24.29,112.38
59081,24.47,113.16
59082,24.41,113.36
59087,23.52,113.32
59088,24.11,113.25
59090,24.57,114.04
59091,24.45,114.32
59092,24.55,114.49
59093,24.47,115.02
59094,24.22,114.07
59096,24.22,114.29
59097,24.03,114.12
59099,24.27,114.56
59102,24.57,115.39
59106,24.35,115.54
59107,24.06,115.15
59109,24.09,115.44
59113,24.44,116.43
59114,24.39,116.1
59116,24.2,116.42
59117,24.16,116.06
59122,24.37,117.45
59124,24.31,117.22
59125,24.22,117.19
59126,24.3,117.39
59127,24.27,117.49
59129,24.08,117.36
59130,24.43,118.08
59131,24.58,118.22
59133,24.54,118.55
59134,24.29,118.04
59137,24.49,118.34
59205,23.39,105.38
59209,23.25,105.5
59211,23.54,106.36
59213,23.44,106.55
59215,23.2,106.37
59218,23.08,106.25
59224,23.36,107.07
59227,23.05,107.09
59228,23.19,107.35
59229,23.11,107.42
59230,23.43,108.1
59235,23.26,108.37
59237,23.1,108.17
59238,23.13,108.48
59241,23.58,109.41
59242,23.45,109.14
59246,23.36,109.4
59249,23.07,109.37
59254,23.24,110.05
59255,23.33,110.23
59256,23.22,110.55
59264,23.27,111.3
59265,23.29,111.18
59266,23.25,111.14
59268,23.15,111.32
59269,23.09,111.46
59270,23.55,112.11
59271,23.38,112.26
59276,23.21,112.41
59278,23.03,112.28
59279,23.1,112.53
59280,23.43,113.01
59284,23.23,113.13
59285,23.33,113.35
59287,23.08,113.19
59288,23.01,113.06
59289,23.02,113.45
59290,23.44,114.14
59293,23.44,114.41
59294,23.18,113.49
59297,23.11,114.17
59298,23.05,114.25
59303,23.56,115.46
59304,23.38,115.11
59306,23.26,115.5
59310,23.46,116.11
59312,23.4,116.38
59313,23.41,116.59
59314,23.18,116.1
59315,23.34,116.23
59316,23.24,116.41
59317,23.02,116.18
59318,23.16,116.35
59319,23.28,116.46
59320,23.46,117.08
59321,23.47,117.3
59322,23.59,117.22
59324,23.26,117.02
59417,22.2,106.51
59419,22.06,106.45
59421,22.5,107.12
59425,22.24,107.21
59426,22.38,107.54
59427,22.07,107.04
59429,22.09,107.58
59431,22.49,108.21
59435,22.46,108.29
59441,22.42,109.15
59446,22.25,109.18
59448,22.16,109.33
59449,22.16,109.59
59451,22.42,110.21
59452,22.51,110.32
59453,22.39,110.1
59454,22.55,111.0
59456,22.21,110.56
59457,22.19,110.16
59462,22.46,111.34
59469,22.1,111.47
59470,22.43,112.13
59471,22.56,112.03
59473,22.46,112.58
59475,22.22,112.41
59476,22.32,113.02
59477,22.11,112.18
59478,22.15,112.47
59480,22.51,113.15
59481,22.57,113.22
59485,22.32,113.21
59487,22.13,113.17
59488,22.17,113.35
59492,22.55,114.42
59493,22.33,114.06
59500,22.58,115.19
59501,22.48,115.22
59502,22.57,115.39
59626,21.32,107.58
59631,21.47,108.21
59632,21.57,108.37
59635,21.37,108.21
59640,21.4,109.11
59644,21.27,109.08
59647,21.02,109.06
59650,21.23,110.15
59653,21.56,110.51
59654,21.38,110.17
59655,21.39,110.37
59656,21.26,110.46
59658,21.13,110.24
59659,21.39,110.53
59663,21.52,111.58
59664,21.3,111.0
59673,21.44,112.46
59750,20.55,110.06
59754,20.2,110.1
59757,20.0,110.22
59758,20.02,110.21
59838,19.06,108.37
59842,19.54,109.41
59843,19.44,110.0
59845,19.31,109.35
59847,19.16,109.03
59848,19.14,109.26
59849,19.02,109.5
59851,19.42,110.2
59854,19.22,110.06
59855,19.14,110.28
59856,19.37,110.45
59940,18.45,109.1
59941,18.46,109.31
59945,18.39,109.42
59948,18.14,109.31
59951,18.48,110.22
59954,18.3,110.02
59981,16.5,112.2
59985,16.32,111.37
54287,42.01,128.05
54824,36.38,117.57
54909,35.06,115.33
56391,30.03,103.49
58349,31.16,120.38
57600,28.44,105.04
58512,29.54,116.33
51747,39.0,83.4
58370,31.14,121.32
56674,26.3,101.44
58627,28.15,117.02
54709,37.13,116.04
54723,37.39,117.34
54724,37.2,117.1
54728,37.46,117.23
54731,37.29,118.14
54755,37.21,120.23
54765,37.32,121.24
54766,37.23,121.25
54803,36.58,116.01
54812,36.47,116.45
54816,36.37,116.47
54829,36.49,117.52
54833,36.58,118.05
54834,36.5,118.18
54837,36.42,118.5
54841,36.52,119.24
54853,36.1,120.25
54904,35.35,115.3
56494,28.39,104.09
57503,29.37,105.07
57508,28.59,105.27
58003,34.57,115.53
58021,34.47,117.15
58022,34.46,117.48
58030,34.54,118.06
58032,34.56,118.39
58568,29.07,121.22
58607,28.33,115.57
58484,30.15,122.12
58623,28.28,117.55
59432,22.49,108.21
58141,33.38,119.01
50137,53.28,122.22
56491,28.42,104.34
50971,45.46,131.01
54340,41.4,123.19
56498,28.1,104.3
57084,34.3,113.03
57351,30.5,111.0
57352,30.32,111.0
57353,30.5,111.0
57453,30.46,111.19
57749,27.34,110.0
54330,41.1,121.22
54345,41.12,123.04
54348,41.25,123.19
57190,33.45,114.24
50850,46.34,125.08
57131,34.26,108.58
57712,27.44,106.57
50924,45.32,119.4
55597,29.02,91.41
57041,34.38,108.55
58566,29.28,121.53
58619,28.0,116.22
58474,30.38,122.03
53603,39.5,106.22
53913,35.51,106.37
53944,35.34,109.15
54175,43.25,126.37
54279,42.03,126.35
56449,28.01,99.44
57386,31.15,114.0
57495,30.4,114.53
57596,29.38,114.12
57797,27.07,114.58
58112,30.44,116.27
58900,25.51,114.57
57123,34.17,108.04
58850,26.55,120.14
58561,29.59,121.36
52881,36.59,103.11
57171,33.46,113.07
57783,27.53,113.49
57794,27.38,114.01
58505,29.37,115.54
58560,29.03,120.26
58524,29.22,117.13
54565,39.36,121.28
57484,30.44,112.33
53601,38.46,105.54
57765,27.19,110.25
58473,30.44,122.49
58726,27.58,117.5
